tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
58.00;585_2;131.11;13.65;5.00;0.00;-614_0;5.10;0.00;tripinfo_5;53.00;5;0;600.65;9.11;privateType;;0
64.00;128_1;79.74;13.57;18.00;0.00;9_0;5.10;0.00;tripinfo_18;46.00;18;0;511.19;8.96;privateType;;0
67.00;-870_0;79.90;13.90;7.00;0.00;-210_0;5.10;0.00;tripinfo_7;60.00;7;0;737.56;6.62;privateType;;0
72.00;-117_2;88.17;13.15;10.00;0.00;-650_0;5.10;0.00;tripinfo_10;62.00;10;0;736.75;7.47;privateType;;0
73.00;-17_2;188.68;13.63;26.00;0.00;116_0;5.10;0.00;tripinfo_26;47.00;26;0;473.70;12.14;privateType;;2
75.00;38_1;145.60;13.41;35.00;0.00;-326_0;5.10;0.00;tripinfo_35;40.00;35;0;410.34;8.32;privateType;;0
76.00;-1029_2;144.77;13.54;14.00;0.00;7_1;5.10;0.00;tripinfo_14;62.00;14;1;714.23;10.16;privateType;;0
78.00;344_2;101.66;12.71;6.00;0.00;585_0;5.10;0.00;tripinfo_6;72.00;6;0;746.46;17.54;privateType;;1
86.00;625_2;115.42;12.64;17.00;0.00;592_0;5.10;0.00;tripinfo_17;69.00;17;0;831.63;8.60;privateType;;0
87.00;123_1;129.57;13.89;0.00;0.00;7_0;12.10;0.00;tripinfo_bus0;87.00;bus0;0;895.33;21.19;busType;;0
92.00;-679_2;110.98;13.58;11.00;0.00;15_0;5.10;0.00;tripinfo_11;81.00;11;0;958.15;10.96;privateType;;0
92.00;517_2;157.09;13.79;40.00;0.00;-1057_0;12.10;0.00;tripinfo_bus2;52.00;bus2;0;554.23;10.66;busType;;0
95.00;-17_2;188.68;13.64;13.00;0.00;121_0;5.10;0.00;tripinfo_13;82.00;13;0;946.43;11.78;privateType;;0
99.00;-577_2;182.62;13.38;8.00;0.00;125_0;5.10;0.00;tripinfo_8;91.00;8;0;1119.14;8.86;privateType;;0
100.00;-698_2;111.22;13.53;16.00;0.00;13_0;5.10;0.00;tripinfo_16;84.00;16;0;925.56;14.85;privateType;;0
102.00;-17_2;188.68;13.89;63.00;0.00;13_0;5.10;0.00;tripinfo_63;39.00;63;0;320.64;15.26;privateType;;4
104.00;348_1;127.93;12.62;45.00;0.00;-349_0;5.10;0.00;tripinfo_45;59.00;45;0;608.18;11.40;privateType;;0
