tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
59.00;585_2;131.11;13.61;5.00;0.00;-614_1;5.10;0.00;tripinfo_5;54.00;5;0;600.65;10.34;privateType;;0
64.00;128_1;79.74;13.73;18.00;0.00;9_1;5.10;0.00;tripinfo_18;46.00;18;0;511.19;8.74;privateType;;0
68.00;-870_1;79.90;12.72;7.00;0.00;-210_1;5.10;0.00;tripinfo_7;61.00;7;0;737.56;7.08;privateType;;0
74.00;38_1;145.60;13.69;35.00;0.00;-326_1;5.10;0.00;tripinfo_35;39.00;35;0;410.34;7.61;privateType;;0
75.00;-117_2;88.17;13.73;10.00;0.00;-650_1;5.10;0.00;tripinfo_10;65.00;10;0;736.75;10.01;privateType;;0
81.00;-17_2;188.68;13.27;26.00;0.00;116_1;5.10;0.00;tripinfo_26;55.00;26;0;473.70;20.56;privateType;;4
85.00;344_2;101.66;13.22;6.00;0.00;585_1;5.10;0.00;tripinfo_6;79.00;6;0;746.46;24.21;privateType;;8
86.00;123_1;129.57;13.48;0.00;0.00;7_0;12.10;0.00;tripinfo_bus0;86.00;bus0;0;895.33;19.53;busType;;0
90.00;625_2;115.42;13.29;17.00;0.00;592_1;5.10;0.00;tripinfo_17;73.00;17;0;831.63;12.24;privateType;;0
91.00;-679_2;110.98;13.38;11.00;0.00;15_1;5.10;0.00;tripinfo_11;80.00;11;0;958.15;10.24;privateType;;0
91.00;517_2;157.09;13.73;40.00;0.00;-1057_0;12.10;0.00;tripinfo_bus2;51.00;bus2;0;554.23;9.09;busType;;0
91.00;-17_2;188.68;13.66;63.00;0.00;13_1;5.10;0.00;tripinfo_63;28.00;63;0;320.64;4.92;privateType;;0
96.00;-1029_2;144.77;12.84;14.00;0.00;7_1;5.10;0.00;tripinfo_14;82.00;14;0;964.41;12.20;privateType;;0
99.00;-698_2;111.22;13.13;16.00;0.00;13_1;5.10;0.00;tripinfo_16;83.00;16;0;925.56;14.28;privateType;;0
101.00;348_1;127.93;13.46;45.00;0.00;-349_1;5.10;0.00;tripinfo_45;56.00;45;0;608.18;8.82;privateType;;0
101.00;-577_2;182.62;13.89;8.00;0.00;125_1;5.10;0.00;tripinfo_8;93.00;8;0;1119.14;10.33;privateType;;0
102.00;-17_2;188.68;13.40;13.00;0.00;121_1;5.10;0.00;tripinfo_13;89.00;13;0;946.43;19.12;privateType;;2
105.00;365_1;193.22;13.39;4.00;0.00;-119_1;5.10;0.00;tripinfo_4;101.00;4;0;1273.62;8.97;privateType;;0
106.00;210_2;103.97;13.13;61.00;0.00;-25_1;5.10;0.00;tripinfo_61;45.00;61;0;510.97;7.39;privateType;;0
107.00;-734_2;194.90;12.68;73.00;0.00;1033_1;5.10;0.00;tripinfo_73;34.00;73;0;394.32;5.18;privateType;;0
109.00;-348_2;127.93;13.83;29.00;0.00;585_1;5.10;0.00;tripinfo_29;80.00;29;0;878.01;15.00;privateType;;0
113.00;570_1;114.42;13.90;101.00;0.00;570_1;5.10;0.00;tripinfo_101;12.00;101;0;109.32;3.77;privateType;;0
119.00;505_2;160.73;12.86;57.00;0.00;-123_1;5.10;0.00;tripinfo_57;62.00;57;0;543.26;20.98;privateType;;4
122.00;882_2;170.95;13.20;19.00;0.00;330_1;5.10;0.00;tripinfo_19;103.00;19;0;1257.06;10.46;privateType;;0
123.00;356_1;139.43;13.77;60.00;0.00;-126_1;5.10;0.00;tripinfo_60;63.00;60;0;735.88;7.72;privateType;;0
124.00;585_2;131.11;13.31;52.00;0.00;-535_1;5.10;0.00;tripinfo_52;72.00;52;0;805.99;13.39;privateType;;1
125.00;623_1;148.58;13.74;23.00;0.00;-642_1;5.10;0.00;tripinfo_23;102.00;23;0;1248.63;11.90;privateType;;0
127.00;882_2;170.95;12.79;25.00;0.00;-319_1;5.10;0.00;tripinfo_25;102.00;25;0;1021.39;25.78;privateType;;8
128.00;-579_2;150.88;13.22;69.00;0.00;614_1;5.10;0.00;tripinfo_69;59.00;69;0;678.11;9.15;privateType;;0
129.00;379_0;132.76;13.56;20.00;0.00;-117_0;12.10;0.00;tripinfo_bus1;109.00;bus1;0;1136.97;26.95;busType;;4
131.00;-326_1;98.80;13.62;38.00;0.00;-846_1;5.10;0.00;tripinfo_38;93.00;38;0;1129.11;11.72;privateType;;0
131.00;-523_2;173.47;12.84;56.00;0.00;-686_1;5.10;0.00;tripinfo_56;75.00;56;0;827.04;14.79;privateType;;0
132.00;-15_2;145.65;13.18;2.00;0.00;698_1;5.10;0.00;tripinfo_2;130.00;2;0;1504.97;20.04;privateType;;0
139.00;13_1;95.18;12.85;0.00;0.00;-613_1;5.10;0.00;tripinfo_0;139.00;0;0;1605.71;21.17;privateType;;2
141.00;-613_1;192.11;13.49;12.00;0.00;-313_1;5.10;0.00;tripinfo_12;129.00;12;0;1356.78;29.27;privateType;;3
141.00;-210_1;103.97;9.35;55.00;0.00;-608_1;5.10;0.00;tripinfo_55;86.00;55;0;939.16;18.20;privateType;;3
143.00;639_1;164.14;13.11;36.00;0.00;332_1;5.10;0.00;tripinfo_36;107.00;36;0;1163.96;22.27;privateType;;0
144.00;-505_2;160.73;12.98;46.00;0.00;-379_1;5.10;0.00;tripinfo_46;98.00;46;0;1034.74;20.56;privateType;;1
146.00;19_1;163.40;3.24;60.00;0.00;-379_0;12.10;0.00;tripinfo_bus3;86.00;bus3;0;791.12;28.97;busType;;10
146.00;614_1;96.58;13.19;16.00;1.00;121_1;5.10;0.00;tripinfo_15;130.00;15;0;1547.79;15.46;privateType;;0
147.00;138_1;178.41;13.64;64.00;0.00;-19_1;5.10;0.00;tripinfo_64;83.00;64;0;933.83;14.49;privateType;;0
147.00;-313_2;124.89;13.74;37.00;0.00;-730_1;5.10;0.00;tripinfo_37;110.00;37;0;1240.39;19.00;privateType;;0
147.00;504_1;200.75;13.19;24.00;0.00;210_1;5.10;0.00;tripinfo_24;123.00;24;0;1372.57;20.70;privateType;;0
154.00;492_1;209.58;12.88;22.00;0.00;-64_1;5.10;0.00;tripinfo_22;132.00;22;0;1417.80;25.79;privateType;;1
155.00;-3_2;202.42;13.11;21.00;0.00;-1005_1;5.10;0.00;tripinfo_21;134.00;21;0;1525.59;23.59;privateType;;2
157.00;-1029_1;144.77;12.66;54.00;0.00;-379_1;5.10;0.00;tripinfo_54;103.00;54;0;1292.67;9.54;privateType;;0
158.00;116_1;127.29;13.85;34.00;0.00;618_1;5.10;0.00;tripinfo_34;124.00;34;0;1343.61;23.14;privateType;;1
159.00;570_2;114.42;13.28;98.00;0.00;-533_1;5.10;0.00;tripinfo_98;61.00;98;0;694.99;9.22;privateType;;0
161.00;-870_1;79.90;12.87;31.00;0.00;-867_1;5.10;0.00;tripinfo_31;130.00;31;0;1490.27;20.59;privateType;;0
163.00;696_0;88.66;13.84;80.00;0.00;326_0;12.10;0.00;tripinfo_bus4;83.00;bus4;0;820.34;22.31;busType;;0
164.00;379_1;132.76;13.84;72.00;0.00;577_1;5.10;0.00;tripinfo_72;92.00;72;0;973.79;21.84;privateType;;8
164.00;-38_2;145.60;13.45;97.00;0.00;-1057_1;5.10;0.00;tripinfo_97;67.00;97;0;773.95;10.35;privateType;;0
165.00;-870_2;79.90;13.06;44.00;0.00;38_1;5.10;0.00;tripinfo_44;121.00;44;0;1320.72;23.64;privateType;;1
165.00;837_2;105.32;10.09;3.00;0.00;-333_1;5.10;0.00;tripinfo_3;162.00;3;0;1655.18;39.31;privateType;;8
166.00;-882_2;170.95;13.63;20.00;0.00;17_1;5.10;0.00;tripinfo_20;146.00;20;0;1413.37;42.10;privateType;;18
166.00;7_2;181.11;13.81;51.00;0.00;123_1;5.10;0.00;tripinfo_51;115.00;51;0;1193.97;28.64;privateType;;9
168.00;504_2;200.75;12.90;43.00;0.00;-119_1;5.10;0.00;tripinfo_43;125.00;43;0;1259.25;30.95;privateType;;12
169.00;-1029_2;144.77;13.27;67.00;0.00;-121_1;5.10;0.00;tripinfo_67;102.00;67;0;1181.14;14.61;privateType;;0
171.00;-17_2;188.68;12.69;81.00;0.00;344_1;5.10;0.00;tripinfo_81;90.00;81;0;1005.94;13.88;privateType;;0
172.00;-585_2;131.11;9.63;140.00;0.00;601_1;5.10;0.00;tripinfo_140;32.00;140;0;321.72;8.22;privateType;;0
173.00;38_1;145.60;12.63;9.00;0.00;-1011_1;5.10;0.00;tripinfo_9;164.00;9;0;1856.98;30.23;privateType;;2
175.00;128_2;79.74;12.95;50.00;0.00;-336_1;5.10;0.00;tripinfo_50;125.00;50;0;1190.73;36.54;privateType;;16
177.00;344_2;101.66;13.18;120.00;0.00;-349_1;5.10;0.00;tripinfo_120;57.00;120;0;606.77;11.16;privateType;;0
178.00;116_1;127.29;13.24;39.00;0.00;730_1;5.10;0.00;tripinfo_39;139.00;39;0;1446.08;32.16;privateType;;10
180.00;505_1;160.73;13.74;83.00;0.00;-13_1;5.10;0.00;tripinfo_83;97.00;83;0;997.14;23.57;privateType;;1
180.00;38_2;145.60;13.78;140.00;0.00;326_0;12.10;0.00;tripinfo_bus7;40.00;bus7;0;401.07;10.93;busType;;0
182.00;-126_1;193.84;12.74;112.00;0.00;361_1;5.10;0.00;tripinfo_112;70.00;112;0;699.19;16.53;privateType;;4
183.00;-837_2;105.32;13.52;27.00;0.00;-517_1;5.10;0.00;tripinfo_27;156.00;27;0;1734.98;30.48;privateType;;8
185.00;344_2;101.66;13.32;28.00;0.00;-588_1;5.10;0.00;tripinfo_28;157.00;28;0;1346.49;59.66;privateType;;36
185.00;579_1;150.88;13.70;66.00;0.00;-728_1;5.10;0.00;tripinfo_66;119.00;66;0;1400.76;15.46;privateType;;0
186.00;356_2;139.43;13.80;70.00;0.00;381_1;5.10;0.00;tripinfo_70;116.00;70;0;1031.58;38.19;privateType;;14
186.00;698_1;111.22;13.50;175.00;0.00;698_1;5.10;0.00;tripinfo_175;11.00;175;0;106.12;2.71;privateType;;0
