tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
68.00;2/7to2/6_0;377.30;27.10;18.00;0.00;2/9to2/8_0;5.10;0.00;tripinfo_18;50.00;18;0;1172.20;7.68;privateType;;0
88.00;4/1to5/1_1;377.30;13.41;26.00;0.00;5/1to4/1_0;5.10;0.00;tripinfo_26;62.00;26;0;754.32;34.78;privateType;;0
109.00;5/9to5/8_0;377.30;26.73;88.00;0.00;5/9to5/8_0;5.10;0.00;tripinfo_88;21.00;88;0;372.20;7.27;privateType;;0
131.00;1/1to1/0_1;377.30;13.02;8.00;0.00;0/1to0/0_0;5.10;0.00;tripinfo_8;123.00;8;0;1541.73;66.89;privateType;;0
146.00;8/7to7/7_1;377.30;13.57;53.00;0.00;8/5to8/6_0;5.10;0.00;tripinfo_53;93.00;53;0;1156.97;50.78;privateType;;0
163.00;3/2to3/1_0;377.30;27.68;10.00;0.00;5/3to5/4_0;5.10;0.00;tripinfo_10;153.00;10;0;2355.24;67.76;privateType;;0
164.00;5/8to6/8_1;377.30;13.49;13.00;0.00;8/9to7/9_0;5.10;0.00;tripinfo_13;151.00;13;0;1942.62;80.14;privateType;;0
165.00;4/7to4/6_1;377.30;13.81;39.00;0.00;5/5to5/6_0;5.10;0.00;tripinfo_39;126.00;39;0;1555.24;69.27;privateType;;0
169.00;3/7to3/8_1;377.30;13.30;0.00;0.00;0/5to1/5_0;12.10;0.00;tripinfo_bus0;169.00;bus0;0;2344.04;81.89;busType;;0
172.00;4/9to5/9_0;377.30;26.91;20.00;0.00;2/5to2/6_0;12.10;0.00;tripinfo_bus1;152.00;bus1;2;2728.07;50.71;busType;;0
189.00;1/9to0/9_0;378.80;27.63;43.00;0.00;1/7to1/6_0;5.10;0.00;tripinfo_43;146.00;43;0;1954.34;75.19;privateType;;0
189.00;0/2to0/1_0;377.30;26.98;63.00;0.00;1/7to0/7_0;5.10;0.00;tripinfo_63;126.00;63;0;2773.13;25.81;privateType;;0
194.00;3/5to3/6_0;377.30;27.46;5.00;0.00;2/0to1/0_0;5.10;0.00;tripinfo_5;189.00;5;0;3537.56;60.54;privateType;;0
198.00;4/8to4/7_0;377.30;26.78;163.00;0.00;4/9to4/8_0;5.10;0.00;tripinfo_163;35.00;163;0;772.20;7.14;privateType;;0
200.00;1/6to1/5_0;377.30;27.71;42.00;0.00;2/9to3/9_0;5.10;0.00;tripinfo_42;158.00;42;0;2737.56;58.47;privateType;;0
206.00;4/8to5/8_0;377.30;27.54;3.00;0.00;3/4to3/5_0;5.10;0.00;tripinfo_3;203.00;3;0;3139.09;89.48;privateType;;0
210.00;2/2to2/1_0;377.30;27.10;133.00;1.00;3/3to2/3_0;5.10;0.00;tripinfo_132;77.00;132;0;1170.47;34.69;privateType;;0
217.00;8/4to7/4_1;377.30;13.35;22.00;0.00;9/4to9/5_0;5.10;0.00;tripinfo_22;195.00;22;0;2323.01;110.27;privateType;;0
218.00;8/1to7/1_1;377.30;13.84;122.00;2.00;6/1to7/1_0;12.10;0.00;tripinfo_bus6;96.00;bus6;0;1147.32;53.44;busType;;0
224.00;6/1to7/1_0;377.30;26.98;64.00;0.00;4/2to4/3_0;5.10;0.00;tripinfo_64;160.00;64;0;2336.68;75.04;privateType;;0
224.00;1/6to2/6_0;377.30;27.82;86.00;0.00;1/4to1/5_0;5.10;0.00;tripinfo_86;138.00;86;0;1939.09;67.76;privateType;;0
225.00;2/8to2/9_0;377.30;26.75;65.00;0.00;2/5to1/5_0;5.10;0.00;tripinfo_65;160.00;65;0;2352.59;75.05;privateType;;0
226.00;5/6to4/6_1;377.30;12.74;11.00;0.00;4/3to3/3_0;5.10;0.00;tripinfo_11;215.00;11;0;2737.36;115.97;privateType;;0
228.00;5/4to4/4_1;377.30;13.33;90.00;0.00;5/0to5/1_0;5.10;0.00;tripinfo_90;138.00;90;0;1956.97;67.25;privateType;;0
228.00;7/0to8/0_0;377.30;27.88;100.00;0.00;5/1to4/1_0;5.10;0.00;tripinfo_100;128.00;100;0;2371.40;42.66;privateType;;0
233.00;8/1to8/2_1;377.30;12.86;76.00;0.00;6/3to6/2_0;5.10;0.00;tripinfo_76;157.00;76;0;1955.24;86.25;privateType;;0
234.00;7/1to8/1_0;377.30;26.70;58.00;0.00;4/2to4/3_0;5.10;0.00;tripinfo_58;176.00;58;0;2736.68;77.11;privateType;;0
235.00;5/3to5/2_0;377.30;27.57;55.00;0.00;7/5to7/4_0;5.10;0.00;tripinfo_55;180.00;55;0;2734.95;81.24;privateType;;0
236.00;1/4to0/4_0;377.30;27.68;51.00;0.00;3/2to3/1_0;5.10;0.00;tripinfo_51;185.00;51;0;2736.68;85.56;privateType;;0
238.00;5/5to5/6_0;377.30;26.98;41.00;0.00;1/1to2/1_0;5.10;0.00;tripinfo_41;197.00;41;0;3570.47;68.39;privateType;;0
240.00;1/5to1/4_1;377.30;13.89;27.00;0.00;2/2to1/2_0;5.10;0.00;tripinfo_27;213.00;27;0;2732.30;114.41;privateType;;0
240.00;7/9to6/9_0;377.30;15.77;54.00;0.00;4/9to4/8_0;5.10;0.00;tripinfo_54;186.00;54;0;2356.17;100.92;privateType;;0
