tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
89.00;4/1to5/1_1;377.30;13.49;26.00;0.00;5/1to4/1_1;5.10;0.00;tripinfo_26;63.00;26;0;754.32;35.45;privateType;;0
109.00;2/7to2/6_1;377.30;13.60;18.00;0.00;2/9to2/8_1;5.10;0.00;tripinfo_18;91.00;18;0;1172.20;48.91;privateType;;0
120.00;5/9to5/8_1;377.30;13.45;88.00;0.00;5/9to5/8_1;5.10;0.00;tripinfo_88;32.00;88;0;372.20;18.21;privateType;;0
131.00;1/1to1/0_1;377.30;13.46;8.00;0.00;0/1to0/0_1;5.10;0.00;tripinfo_8;123.00;8;0;1541.73;67.07;privateType;;0
146.00;8/7to7/7_1;377.30;12.89;53.00;0.00;8/5to8/6_1;5.10;0.00;tripinfo_53;93.00;53;0;1156.97;50.68;privateType;;0
150.00;4/9to5/9_0;377.30;26.45;20.00;0.00;2/5to2/6_0;12.10;0.00;tripinfo_bus1;130.00;bus1;0;2747.50;28.08;busType;;0
163.00;4/7to4/6_1;377.30;13.02;39.00;0.00;5/5to5/6_1;5.10;0.00;tripinfo_39;124.00;39;0;1555.24;67.68;privateType;;0
169.00;5/8to6/8_1;377.30;12.66;13.00;0.00;8/9to7/9_1;5.10;0.00;tripinfo_13;156.00;13;0;1942.62;85.07;privateType;;0
170.00;3/7to3/8_1;377.30;13.65;0.00;0.00;0/5to1/5_0;12.10;0.00;tripinfo_bus0;170.00;bus0;0;2344.04;82.85;busType;;0
198.00;1/9to0/9_1;378.80;12.99;43.00;0.00;1/7to1/6_1;5.10;0.00;tripinfo_43;155.00;43;0;1954.34;84.69;privateType;;0
202.00;3/2to3/1_1;377.30;13.23;10.00;0.00;5/3to5/4_1;5.10;0.00;tripinfo_10;192.00;10;0;2355.24;106.77;privateType;;0
213.00;3/9to4/9_0;377.30;26.59;40.00;0.00;4/2to3/2_0;12.10;0.00;tripinfo_bus2;173.00;bus2;0;3529.80;42.05;busType;;0
214.00;8/4to7/4_1;377.30;13.62;22.00;0.00;9/4to9/5_1;5.10;0.00;tripinfo_22;192.00;22;0;2323.01;107.61;privateType;;0
220.00;8/1to7/1_1;377.30;13.85;120.00;0.00;6/1to7/1_0;12.10;0.00;tripinfo_bus6;100.00;bus6;0;1147.32;57.11;busType;;0
225.00;4/8to4/7_1;377.30;12.94;163.00;0.00;4/9to4/8_1;5.10;0.00;tripinfo_163;62.00;163;0;772.20;33.95;privateType;;0
226.00;5/6to4/6_1;377.30;13.56;11.00;0.00;4/3to3/3_1;5.10;0.00;tripinfo_11;215.00;11;0;2737.36;116.12;privateType;;0
226.00;2/2to2/1_1;377.30;12.62;132.00;0.00;3/3to2/3_1;5.10;0.00;tripinfo_132;94.00;132;0;1170.47;51.82;privateType;;0
233.00;8/1to8/2_1;377.30;12.76;76.00;0.00;6/3to6/2_1;5.10;0.00;tripinfo_76;157.00;76;0;1955.24;85.94;privateType;;0
242.00;1/6to2/6_1;377.30;13.08;86.00;0.00;1/4to1/5_1;5.10;0.00;tripinfo_86;156.00;86;0;1939.09;85.53;privateType;;0
243.00;6/0to6/1_1;377.30;13.41;87.00;0.00;7/1to8/1_1;5.10;0.00;tripinfo_87;156.00;87;0;1934.71;86.14;privateType;;0
244.00;7/9to6/9_1;377.30;13.52;54.00;0.00;4/9to4/8_1;5.10;0.00;tripinfo_54;190.00;54;0;2356.17;104.49;privateType;;0
246.00;1/5to1/4_1;377.30;13.79;27.00;0.00;2/2to1/2_1;5.10;0.00;tripinfo_27;219.00;27;0;2732.30;120.37;privateType;;0
247.00;5/4to4/4_1;377.30;12.74;90.00;0.00;5/0to5/1_1;5.10;0.00;tripinfo_90;157.00;90;0;1956.97;86.00;privateType;;0
249.00;4/8to5/8_1;377.30;13.88;3.00;0.00;3/4to3/5_1;5.10;0.00;tripinfo_3;246.00;3;0;3139.09;132.83;privateType;;0
250.00;2/8to2/9_1;377.30;13.28;65.00;0.00;2/5to1/5_1;5.10;0.00;tripinfo_65;185.00;65;0;2352.59;100.38;privateType;;0
252.00;6/1to7/1_1;377.30;13.35;64.00;0.00;4/2to4/3_1;5.10;0.00;tripinfo_64;188.00;64;0;2336.68;103.22;privateType;;0
256.00;2/6to2/7_1;377.30;13.54;30.00;0.00;4/8to4/7_1;5.10;0.00;tripinfo_30;226.00;30;0;2714.66;127.42;privateType;;1
