,tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
0,68.00;3/3to3/2_1;378.80;13.66;7.00;0.00;2/3to3/3_1;5.10;0.00;tripinfo_car7;61.00;car7;0;760.40;33.28;privateType;;0
1,69.00;1/1to2/1_1;377.30;13.00;6.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car6;63.00;car6;0;754.32;35.50;privateType;;0
2,74.00;2/2to2/3_1;377.30;13.23;10.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car10;64.00;car10;0;770.47;35.94;privateType;;0
3,82.00;0/1to0/2_1;377.30;13.67;51.00;0.00;0/1to0/2_1;5.10;0.00;tripinfo_car51;31.00;car51;0;372.20;17.48;privateType;;0
4,102.00;3/1to2/1_1;377.30;13.53;9.00;0.00;2/2to2/1_1;5.10;0.00;tripinfo_car9;93.00;car9;0;1139.09;51.52;privateType;;0
5,102.00;2/3to1/3_1;377.30;13.62;2.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car2;100.00;car2;0;1171.40;57.63;privateType;;0
6,102.00;2/1to2/2_1;377.30;12.62;5.00;0.00;1/0to2/0_1;5.10;0.00;tripinfo_car5;97.00;car5;0;1157.85;54.72;privateType;;0
7,109.00;0/1to1/1_2;377.30;13.40;43.00;0.00;1/1to0/1_1;5.10;0.00;tripinfo_car43;66.00;car43;0;754.32;38.79;privateType;;0
8,109.00;1/3to2/3_1;377.30;13.32;17.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car17;92.00;car17;0;1160.40;49.98;privateType;;0
9,111.00;1/3to1/2_1;377.30;13.16;46.00;0.00;2/3to1/3_1;5.10;0.00;tripinfo_car46;65.00;car46;0;757.85;37.26;privateType;;0
