tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
93.00;27947116#3_1;25.33;13.13;1.00;-0.20;28006360_0;5.10;0.00;tripinfo_veh1 routing_veh1;92.00;veh1;1;986.68;20.21;passenger;;0
94.00;4375201#13_1;6.33;21.14;71.00;-0.75;4795263#1_1;5.10;0.00;tripinfo_veh60 routing_veh60;23.00;veh60;1;397.91;4.29;passenger;;0
117.00;-155367906#2_0;55.59;13.71;22.00;-0.72;28000371#0_1;5.10;0.00;tripinfo_veh19 routing_veh19;95.00;veh19;1;1048.31;17.72;passenger;;0
119.00;27683105_0;33.86;13.48;64.00;-0.57;-28008221#0_1;5.10;0.00;tripinfo_veh54 routing_veh54;55.00;veh54;1;745.55;8.96;passenger;;0
123.00;159229696#1_0;56.50;13.11;7.00;-0.17;27192042#1_1;5.10;0.00;tripinfo_veh6 routing_veh6;116.00;veh6;1;1294.95;14.18;passenger;;0
125.00;28006028#1_0;24.74;13.15;31.00;-0.09;-27194808_1;5.10;0.00;tripinfo_veh26 routing_veh26;94.00;veh26;1;863.88;21.19;passenger;;0
128.00;155366809_0;219.80;13.82;4.00;-0.78;-28000151#0_0;5.10;0.00;tripinfo_veh4 routing_veh4;124.00;veh4;1;1424.26;18.94;passenger;;0
130.00;-155366797#5_0;87.32;13.79;0.00;0.00;276432921_0;12.10;0.00;tripinfo_bus0 routing_bus0;130.00;bus0;1;1402.16;18.04;bus;;0
131.00;-4908222#6_0;13.77;5.29;28.00;-0.70;780785#4_0;12.10;0.00;tripinfo_bus12 routing_bus12;103.00;bus12;1;910.50;17.08;bus;;0
137.00;4808622#0_0;355.82;12.19;38.00;-0.26;-27947026#1_0;5.10;0.00;tripinfo_veh32 routing_veh32;99.00;veh32;1;1182.63;11.54;passenger;;0
140.00;-155366787#14_0;77.01;12.26;0.00;0.00;200574632#0_0;5.10;0.00;tripinfo_veh0 routing_veh0;140.00;veh0;1;1632.18;18.47;passenger;;0
141.00;-144131812#0_1;59.15;13.16;9.00;-0.57;4375201#1_0;5.10;0.00;tripinfo_veh8 routing_veh8;132.00;veh8;1;1804.87;33.97;passenger;;9
144.00;-155366806#4_0;34.95;13.60;9.00;-0.57;-783808#2_1;12.10;0.00;tripinfo_bus4 routing_bus4;135.00;bus4;1;1258.75;40.80;bus;;0
145.00;27683107_0;56.94;13.39;57.00;-0.40;-28005864_0;5.10;0.00;tripinfo_veh48 routing_veh48;88.00;veh48;1;1007.83;14.57;passenger;;0
146.00;155366822#1_1;51.26;12.69;47.00;-0.83;86326105#2_0;5.10;0.00;tripinfo_veh40 routing_veh40;99.00;veh40;1;1173.35;13.70;passenger;;0
147.00;79716216_0;19.08;13.36;17.00;-0.94;144131812#0_1;5.10;0.00;tripinfo_veh15 routing_veh15;130.00;veh15;1;1153.39;35.70;passenger;;14
147.00;-4641140_0;395.74;13.52;39.00;-0.46;4795023_1;5.10;0.00;tripinfo_veh33 routing_veh33;108.00;veh33;1;1259.79;16.86;passenger;;0
157.00;-173253726#1_1;38.52;12.81;2.00;-0.39;4795939_0;5.10;0.00;tripinfo_veh2 routing_veh2;155.00;veh2;1;1636.32;35.29;passenger;;0
160.00;253152096#13_1;42.36;13.87;20.00;-0.33;4422125#8_0;5.10;0.00;tripinfo_veh17 routing_veh17;140.00;veh17;1;963.31;67.85;passenger;;34
160.00;4795024_1;101.28;13.88;45.00;-0.44;155806721_1;5.10;0.00;tripinfo_veh38 routing_veh38;115.00;veh38;1;1176.04;22.70;passenger;;0
161.00;-187325488#4_1;28.92;13.05;14.00;-0.35;-165420774#1_1;5.10;0.00;tripinfo_veh12 routing_veh12;147.00;veh12;1;1735.54;27.71;passenger;;0
162.00;457097649_1;25.43;12.96;80.00;-0.12;-28005862_1;5.10;0.00;tripinfo_veh67 routing_veh67;82.00;veh67;1;878.23;15.94;passenger;;0
162.00;27930596#4_0;56.85;13.45;84.00;-0.90;86326091#4_2;5.10;0.00;tripinfo_veh71 routing_veh71;78.00;veh71;1;723.59;23.39;passenger;;0
164.00;-144131812#0_0;59.15;13.29;21.00;-0.52;358689731#3_0;12.10;0.00;tripinfo_bus9 routing_bus9;143.00;bus9;1;1553.02;29.77;bus;;0
168.00;159229564_1;129.77;12.71;56.00;-0.20;27934801#6_0;5.10;0.00;tripinfo_veh47 routing_veh47;112.00;veh47;1;1303.29;16.56;passenger;;0
171.00;184874208#0_1;138.74;12.75;15.00;-0.54;457097115#28_0;5.10;0.00;tripinfo_veh13 routing_veh13;156.00;veh13;1;1750.77;26.95;passenger;;0
172.00;-27947020#12_1;48.57;12.74;65.00;-0.77;168605805#1_0;5.10;0.00;tripinfo_veh55 routing_veh55;107.00;veh55;1;1191.82;18.66;passenger;;0
174.00;-4270616#3_0;44.29;8.12;43.00;-0.05;-28005862_1;5.10;0.00;tripinfo_veh36 routing_veh36;131.00;veh36;1;1484.77;17.08;passenger;;0
177.00;27194807#1_0;24.85;12.65;90.00;-0.88;-159229460_1;5.10;0.00;tripinfo_veh76 routing_veh76;87.00;veh76;1;963.59;16.18;passenger;;0
180.00;27194797#1_0;36.07;13.51;19.00;-0.13;-28005212_1;12.10;0.00;tripinfo_bus8 routing_bus8;161.00;bus8;1;1142.65;76.74;bus;;51
182.00;-4350888_0;462.40;7.87;60.00;-0.98;4795021#1_1;5.10;0.00;tripinfo_veh51 routing_veh51;122.00;veh51;1;943.24;14.86;passenger;;0
187.00;-4480692_0;22.29;11.05;76.00;-0.53;-4350887#2_1;12.10;0.00;tripinfo_bus32 routing_bus32;111.00;bus32;1;1043.76;31.18;bus;;1
187.00;-155367911_0;142.46;13.66;112.00;-0.40;155291843#0_1;5.10;0.00;tripinfo_veh94 routing_veh94;75.00;veh94;1;824.56;13.48;passenger;;0
