tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
96.00;4375201#13_1;6.33;22.12;71.00;-0.75;4795263#1_1;5.10;0.00;tripinfo_veh60 routing_veh60;25.00;veh60;1;397.91;5.73;passenger;;0
97.00;27947116#3_1;25.33;13.71;1.00;-0.20;28006360_1;5.10;0.00;tripinfo_veh1 routing_veh1;96.00;veh1;1;986.68;23.57;passenger;;0
120.00;-155367906#2_1;55.59;13.32;22.00;-0.72;28000371#0_1;5.10;0.00;tripinfo_veh19 routing_veh19;98.00;veh19;1;1048.31;20.84;passenger;;0
125.00;27683105_1;33.86;13.14;64.00;-0.57;-28008221#0_1;5.10;0.00;tripinfo_veh54 routing_veh54;61.00;veh54;1;745.55;13.82;passenger;;0
130.00;159229696#1_1;56.50;12.66;7.00;-0.17;27192042#1_1;5.10;0.00;tripinfo_veh6 routing_veh6;123.00;veh6;1;1294.95;19.65;passenger;;0
131.00;-4908222#6_0;13.77;5.43;28.00;-0.70;780785#4_0;12.10;0.00;tripinfo_bus12 routing_bus12;103.00;bus12;1;910.50;16.93;bus;;0
132.00;155366809_0;219.80;12.86;4.00;-0.78;-28000151#0_1;5.10;0.00;tripinfo_veh4 routing_veh4;128.00;veh4;1;1424.26;22.90;passenger;;0
134.00;79716216_1;19.08;13.55;17.00;-0.94;144131812#0_1;5.10;0.00;tripinfo_veh15 routing_veh15;117.00;veh15;1;1153.39;22.59;passenger;;0
140.00;-144131812#0_1;59.15;12.70;9.00;-0.57;4375201#1_1;5.10;0.00;tripinfo_veh8 routing_veh8;131.00;veh8;1;1804.87;33.06;passenger;;9
140.00;-155366787#14_0;77.01;13.29;0.00;0.00;200574632#0_2;5.10;0.00;tripinfo_veh0 routing_veh0;140.00;veh0;1;1632.18;18.36;passenger;;0
141.00;4808622#0_1;355.82;13.28;38.00;-0.26;-27947026#1_1;5.10;0.00;tripinfo_veh32 routing_veh32;103.00;veh32;1;1182.63;14.70;passenger;;0
141.00;-155366797#5_0;87.32;13.81;0.00;0.00;276432921_0;12.10;0.00;tripinfo_bus0 routing_bus0;141.00;bus0;1;1402.16;29.21;bus;;2
143.00;-155366806#4_0;34.95;12.97;9.00;-0.57;-783808#2_1;12.10;0.00;tripinfo_bus4 routing_bus4;134.00;bus4;1;1258.75;39.86;bus;;0
144.00;27683107_1;56.94;12.97;57.00;-0.40;-28005864_1;5.10;0.00;tripinfo_veh48 routing_veh48;87.00;veh48;1;1007.83;13.91;passenger;;0
147.00;155366822#1_1;51.26;13.28;49.00;1.17;86326105#2_1;5.10;0.00;tripinfo_veh40 routing_veh40;98.00;veh40;1;1173.35;13.07;passenger;;0
149.00;253152096#13_1;42.36;12.95;20.00;-0.33;4422125#8_1;5.10;0.00;tripinfo_veh17 routing_veh17;129.00;veh17;1;963.31;56.90;passenger;;31
149.00;-4641140_0;395.74;13.30;39.00;-0.46;4795023_1;5.10;0.00;tripinfo_veh33 routing_veh33;110.00;veh33;1;1259.79;18.98;passenger;;0
157.00;-173253726#1_1;38.52;12.77;2.00;-0.39;4795939_0;5.10;0.00;tripinfo_veh2 routing_veh2;155.00;veh2;1;1636.32;34.71;passenger;;0
158.00;4795024_1;101.28;13.44;45.00;-0.44;155806721_1;5.10;0.00;tripinfo_veh38 routing_veh38;113.00;veh38;1;1176.04;20.91;passenger;;0
159.00;28006028#1_1;24.74;13.61;31.00;-0.09;-27194808_1;5.10;0.00;tripinfo_veh26 routing_veh26;128.00;veh26;1;1332.45;28.44;passenger;;0
160.00;457097649_1;25.43;12.15;80.00;-0.12;-28005862_1;5.10;0.00;tripinfo_veh67 routing_veh67;80.00;veh67;1;878.23;13.42;passenger;;0
162.00;-187325488#4_1;28.92;13.75;14.00;-0.35;-165420774#1_1;5.10;0.00;tripinfo_veh12 routing_veh12;148.00;veh12;1;1735.54;28.79;passenger;;0
163.00;-144131812#0_0;59.15;13.59;21.00;-0.52;358689731#3_0;12.10;0.00;tripinfo_bus9 routing_bus9;142.00;bus9;1;1553.02;28.85;bus;;0
164.00;172180955_1;34.36;13.51;9.00;0.63;-28000153#0_1;5.10;0.00;tripinfo_veh7 routing_veh7;155.00;veh7;1;1811.29;23.46;passenger;;0
167.00;159229564_1;129.77;12.95;56.00;-0.20;27934801#6_1;5.10;0.00;tripinfo_veh47 routing_veh47;111.00;veh47;1;1303.29;15.53;passenger;;0
168.00;-27947020#12_1;48.57;12.71;65.00;-0.77;168605805#1_0;5.10;0.00;tripinfo_veh55 routing_veh55;103.00;veh55;1;1191.82;15.37;passenger;;0
172.00;184874208#0_1;138.74;12.91;15.00;-0.54;457097115#28_1;5.10;0.00;tripinfo_veh13 routing_veh13;157.00;veh13;1;1750.77;27.58;passenger;;0
176.00;-4480692_0;22.29;10.82;76.00;-0.53;-4350887#2_1;12.10;0.00;tripinfo_bus32 routing_bus32;100.00;bus32;1;1043.76;20.82;bus;;0
176.00;27930596#4_1;56.85;13.54;84.00;-0.90;86326091#4_2;5.10;0.00;tripinfo_veh71 routing_veh71;92.00;veh71;1;723.59;35.77;passenger;;6
179.00;27194807#1_1;24.85;11.77;90.00;-0.88;-159229460_1;5.10;0.00;tripinfo_veh76 routing_veh76;89.00;veh76;1;963.59;18.37;passenger;;0
179.00;-4270616#3_1;44.29;8.86;43.00;-0.05;-28005862_1;5.10;0.00;tripinfo_veh36 routing_veh36;136.00;veh36;1;1484.77;22.00;passenger;;0
182.00;-4350888_0;462.40;8.05;60.00;-0.98;4795021#1_1;5.10;0.00;tripinfo_veh51 routing_veh51;122.00;veh51;1;943.24;14.91;passenger;;0
185.00;-155367911_0;142.46;12.84;112.00;-0.40;155291843#0_1;5.10;0.00;tripinfo_veh94 routing_veh94;73.00;veh94;1;824.56;11.68;passenger;;0
189.00;27194797#1_0;36.07;13.40;19.00;-0.13;-28005212_1;12.10;0.00;tripinfo_bus8 routing_bus8;170.00;bus8;1;1142.65;85.97;bus;;55
198.00;27194805_1;56.06;13.18;50.00;-0.22;-170127998_1;5.10;0.00;tripinfo_veh42 routing_veh42;148.00;veh42;1;1678.77;24.27;passenger;;0
